Tasks	Stock	Meltdown	Spectre	MDS
aio-stress	715.01	670.24	668.80	668.49
aircrack-ng	1104.03	1100.97	1099.61	1103.85
aobench	868.11	868.35	858.66	863.70
apache	1507.68	1416.64	1370.45	1386.56
nginx	1512.14	1425.35	1388.81	1406.23
crafty	559.49	556.49	550.48	552.24
tscp	561.16	556.08	554.64	560.27
stockfish	931.14	925.24	921.78	924.58
p7zip	1756.97	1749.96	1745.14	1748.16
bzip2	340.15	338.99	341.04	338.45
zstd	389.12	388.73	388.32	388.11
xz	1628.12	1617.94	1621.28	1612.95
byte_register	1543.09	1531.25	1514.19	1536.75
byte_dhry2	1734.43	1730.32	1709.77	1728.49
byte_int	1536.79	1531.97	1514.50	1525.06
byte_float	1541.73	1530.58	1518.12	1521.71
scimark2	696.90	695.34	692.21	677.08
fhourstones	2488.57	2484.27	2461.96	2476.54
gmpbench	9235.15	9208.17	9169.33	9203.02
dcraw	486.72	483.06	480.90	484.16
sudokut	500.04	497.87	497.16	502.77
nero2d	7451.91	7465.47	7414.68	7450.30
minion	1018.03	1014.94	1017.55	1022.20
hmmer	450.65	449.71	447.04	447.67
rodinia_euler3d_cpu_double	2237.70	2234.69	2222.09	2232.80
rodinia_lavaMD	10251.91	10271.02	10184.99	10562.01
rodinia_sc_omp	1804.64	1806.64	1802.06	1804.22
openssl	430.41	433.42	427.97	433.41
sysbench_cpu	1469.12	1474.10	1464.51	1473.85
sysbench_memory	261.70	261.55	258.20	261.22
blake2s	779.65	790.02	777.87	788.11
blogbench_read	2435.03	2432.91	2403.61	2431.87
blogbench_write	2326.43	2314.65	2285.50	2300.36
x264	733.51	732.64	730.00	734.33
x265	1017.39	1017.09	1010.40	1018.76
ctx_clock	6192.51	3523.34	6178.19	3165.46
c-ray	9416.89	9437.51	9380.70	9430.24
povray	6296.84	6292.09	6270.33	6309.26
cachebench_read	532.30	533.71	528.19	528.17
cachebench_write	576.49	581.46	572.10	578.93
cachebench_mixed	1835.38	1853.18	1814.20	1832.76
cachebench_memset	602.23	608.35	596.15	601.39
cachebench_memcpy	578.42	580.11	574.18	575.72
cloverleaf	3519.32	3432.65	3403.48	3424.81
brlcad	41616.53	40782.19	40465.46	42321.34
cpp-perf-bench_stepanov_abstraction	695.81	697.95	690.16	697.41
cpp-perf-bench_stepanov_vector	1748.86	1754.85	1736.92	1761.07
cpp-perf-bench_functionobjects	324.66	325.16	323.35	328.63
cpp-perf-bench_atol	1523.63	1535.63	1515.69	1528.33
cpp-perf-bench_ctype	680.69	684.19	675.45	683.14
cpp-perf-bench_mathlib	7931.82	7994.15	7893.43	7956.10
cpp-perf-bench_random_numbers	19022.32	19143.30	18787.45	19090.82
dacapo_eclipse	4168.03	4131.88	4091.11	4119.39
dacapo_h2	1386.43	1383.97	1370.39	1367.30
dacapo_jython	1084.82	1068.86	1079.77	1070.55
dacapo_tradebeans	2433.62	2562.09	2491.52	2513.22
dacapo_tradesoap	3461.56	3446.24	3481.94	3445.21
ebizzy	1691.60	1674.57	1695.14	1700.44
glibc-bench_bench-ffsll	224.97	232.18	225.27	231.89
glibc-bench_bench-ffs	221.18	227.09	220.30	225.71
glibc-bench_bench-pthread_once	221.18	227.72	221.45	215.57
glibc-bench_bench-tanh	226.19	229.08	226.87	217.91
glibc-bench_bench-sqrt	232.97	240.20	230.87	237.29
glibc-bench_bench-sin	480.71	482.48	474.90	470.09
glibc-bench_bench-cos	475.44	476.75	471.00	467.13
glibc-bench_bench-asinh	231.71	230.81	228.78	220.96
glibc-bench_bench-atanh	235.23	235.54	232.75	223.35
glibc-bench_bench-sincos	447.95	448.11	442.87	435.14
glibc-bench_bench-sinh	242.51	246.39	241.14	232.59
