openarenaG_800x600                          106
openarenaG_1024x768                         146
openarenaG_1920x1080                          305
openarenaG_2560x1440                           84
urbanterrorG_800x600                           35
urbanterrorG_1024x768                          42
urbanterrorG_1920x1080                          70
urbanterrorG_2560x1440                          30
unigine-valley_800x600                          232
unigine-valley_1024x768                          243
unigine-valley_1920x1080                         418
unigine-valley_2560x1440                          656
unigine-heaven_800x600                          312
unigine-heaven_1024x768                          315
unigine-heaven_1920x1080                         438
unigine-heaven_2560x1440                          720
glmark2_800x600                         332
glmark2_1024x768                         332
glmark2_1920x1080                         332
glmark2_2560x1440                         332
qgears_-image                          162
qgears_-render                         155
qgears_TEXT                          104
qgears_GEARSFANCY                         155
qgears_COMPO                          16
jxrend                          20
nexuiz_800x600                           24
nexuiz_1024x768                          30
nexuiz_1920x1080                          52
nexuiz_2560x1440                          52
xonotic_800x600                          886
xonotic_1024x768                         885
xonotic_1920x1080                          886
xonotic_2560x1440                          886
paraview_manyspheres                          362
paraview_waveletcontour                          779
paraview_waveletvolume                          31
indigobench_supercar                           61
indigobench_bedroom                           62
j2dbench_all                          361
j2dbench_images                          105
j2dbench_graphics                          245
j2dbench_text                          14
aio-stress                           86,710 +- 0,451 seconds time elapsed  ( +-  0,52% )
aircrack-ng                          18,3859 +- 0,0143 seconds time elapsed  ( +-  0,08% )
aobench                          38,5398 +- 0,0144 seconds time elapsed  ( +-  0,04% )
apache                           38,635 +- 0,145 seconds time elapsed  ( +-  0,38% )
nginx                           39,352 +- 0,108 seconds time elapsed  ( +-  0,27% )
crafty                          24,3890 +- 0,0191 seconds time elapsed  ( +-  0,08% )
tscp                          26,0635 +- 0,0138 seconds time elapsed  ( +-  0,05% )
stockfish                          38,8951 +- 0,0133 seconds time elapsed  ( +-  0,03% )
p7zip                          37,8322 +- 0,0689 seconds time elapsed  ( +-  0,18% )
bzip2                          15,5855 +- 0,0920 seconds time elapsed  ( +-  0,59% )
zstd                           10,912 +- 0,101 seconds time elapsed  ( +-  0,92% )
xz                           80,410 +- 0,277 seconds time elapsed  ( +-  0,34% )
byte_register                          121,881 +- 0,136 seconds time elapsed  ( +-  0,11% )
byte_dhry2                          121,522 +- 0,110 seconds time elapsed  ( +-  0,09% )
byte_int                          121,435 +- 0,119 seconds time elapsed  ( +-  0,10% )
byte_float                          121,625 +- 0,163 seconds time elapsed  ( +-  0,13% )
scimark2                           29,315 +- 0,657 seconds time elapsed  ( +-  2,24% )
fhourstones                          117,751 +- 0,101 seconds time elapsed  ( +-  0,09% )
