Tasks Stock Meltdown Spectre MDS AllOff
aio-stress	11.27 11.12 11.12 11.12 11.17
aircrack-ng	7.22 7.22 7.22 7.22 7.22
aobench	9.07 9.07 9.07 9.07 9.07
apache	9.32 9.15 9.07 9.07 8.65
nginx	9.32 9.15 9.07 9.15 8.65
crafty	7.92 7.92 7.92 7.92 7.92
tscp	8.12 8.12 8.12 8.12 8.12
stockfish	9.15 9.07 9.07 9.07 9.07
p7zip	9.02 9.02 9.02 9.02 9.02
bzip2	6.75 6.75 6.75 6.75 6.75
zstd	5.75 5.75 5.75 5.75 5.75
xz	10.95 10.95 10.97 10.95 10.95
byte_register	12.00 11.97 11.97 11.97 12.00
byte_dhry2	12.00 11.97 11.97 11.97 11.97
byte_int	12.00 11.97 11.97 11.97 12.00
byte_float	12.00 11.97 11.97 11.97 12.00
scimark2	8.50 8.50 8.50 8.40 8.50
fhourstones	11.90 11.90 11.90 11.90 11.90
gmpbench	15.07 15.07 15.07 15.07 15.07
dcraw	7.92 7.82 7.82 7.82 7.82
sudokut	7.47 7.47 7.47 7.47 7.47
nero2d	14.30 14.30 14.30 14.30 14.27
minion	9.45 9.45 9.45 9.45 9.45
hmmer	5.17 5.17 5.17 5.17 5.17
rodinia_euler3d_cpu_double	9.82 9.82 9.82 9.82 9.82
rodinia_lavaMD	12.92 12.92 12.92 13.02 12.90
rodinia_sc_omp	9.32 9.32 9.32 9.32 9.32
openssl	7.47 7.47 7.47 7.47 7.47
sysbench_cpu	8.80 8.80 8.80 8.80 8.80
sysbench_memory	4.00 4.00 4.00 4.00 4.00
blake2s	9.20 9.15 9.20 9.20 9.15
blogbench_read	10.35 10.30 10.30 10.30 10.30
blogbench_write	9.87 9.87 9.87 9.87 9.87
x264	6.40 6.40 6.40 6.40 6.40
x265	7.07 7.22 7.07 7.22 7.07
ctx_clock	14.40 12.87 14.40 12.80 10.05
c-ray	13.07 13.07 13.07 13.10 13.07
povray	11.55 11.55 11.55 11.55 11.55
cachebench_read	8.22 8.22 8.22 8.22 8.22
cachebench_write	8.32 8.32 8.32 8.32 8.32
cachebench_mixed	11.02 11.02 11.02 11.02 11.02
cachebench_memset	7.92 7.92 7.92 7.92 7.92
cachebench_memcpy	7.72 7.72 7.72 7.72 7.72
cloverleaf	11.32 11.22 11.22 11.22 11.22
brlcad	16.40 16.15 16.12 16.22 16.20
cpp-perf-bench_stepanov_abstraction	8.87 8.87 8.87 8.87 8.87
cpp-perf-bench_stepanov_vector	11.17 11.17 11.17 11.17 11.17
cpp-perf-bench_functionobjects	6.75 6.75 6.75 6.75 6.75
cpp-perf-bench_atol	10.42 10.42 10.42 10.42 10.42
cpp-perf-bench_ctype	8.50 8.50 8.50 8.50 8.50
cpp-perf-bench_mathlib	14.70 14.70 14.70 14.70 14.70
cpp-perf-bench_random_numbers	17.12 17.12 17.12 17.12 17.12
dacapo_eclipse	11.72 11.70 11.70 11.70 11.67
dacapo_h2	9.27 9.27 9.27 9.27 9.20
dacapo_jython	8.40 8.32 8.40 8.32 8.32
dacapo_tradebeans	12.45 12.85 12.75 12.80 12.90
dacapo_tradesoap	6.57 6.40 6.57 6.20 6.40
ebizzy	8.50 8.50 8.50 8.50 8.50
glibc-bench_bench-ffsll	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-ffs	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-pthread_once	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-tanh	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-sqrt	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-sin	7.60 7.60 7.60 7.60 7.60
glibc-bench_bench-cos	7.60 7.60 7.60 7.60 7.60
glibc-bench_bench-asinh	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-atanh	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-sincos	7.47 7.47 7.47 7.47 7.47
glibc-bench_bench-sinh	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-modf	5.75 5.75 5.75 5.75 5.75
glibc-bench_bench-exp	8.50 8.50 8.50 8.50 8.50
glibc-bench_bench-log2	5.75 5.75 5.75 5.75 5.75
himeno	10.72 10.67 10.72 10.67 10.67
hint_float	14.87 14.90 14.87 14.90 14.92
hint_double	14.15 14.15 14.15 14.15 14.15
hpcg	14.00 13.97 13.97 13.97 13.97
build-linux-kernel	18.35 18.07 18.07 18.05 18.05
john-the-ripper_bcrypt	8.50 8.50 8.50 8.50 8.50
john-the-ripper_md5crypt	10.22 10.22 10.22 10.22 10.22
lzbench_-ezstd	16.07 16.07 16.07 16.07 16.07
lzbench_-ebrotli	15.87 15.85 15.87 15.85 15.87
lzbench_-elibdeflate	13.90 13.90 13.90 13.90 13.90
lzbench_-exz	16.12 16.12 16.12 16.12 16.12
m-queens	10.10 10.10 10.10 10.10 10.10
mbw_512	5.17 5.17 5.17 5.17 5.17
mbw_1024	7.07 7.07 7.07 7.07 7.07
mbw_4096	10.60 10.57 10.60 10.57 10.57
mcperf_get	7.22 6.92 6.57 7.07 6.20
mcperf_set	8.50 8.32 8.02 8.40 7.60
mcperf_delete	7.22 7.07 6.57 7.07 6.20
mcperf_add	8.50 8.32 8.02 8.40 7.60
mcperf_replace	8.40 8.12 7.82 8.32 7.47
mcperf_append	8.40 8.22 7.92 8.22 7.47
mcperf_prepend	8.40 8.22 7.82 8.22 7.47
mkl-dnn_conv_all	16.12 16.12 16.12 16.12 16.12
mkl-dnn_conv_googlenet_v3	12.17 12.17 12.17 12.17 12.17
